size result time
1 0.000003 0.001000
2 0.000004 0.001000
3 0.000008 0.001000
4 0.000013 0.001000
5 0.000017 0.001000
6 0.000115 0.001000
7 0.000139 0.002000
8 0.000141 0.002000
9 0.000145 0.002000
10 0.000153 0.002000
11 0.000166 0.002000
12 0.000170 0.003000
13 0.000172 0.002000
14 0.000182 0.003000
15 0.000290 0.006000
16 0.000291 0.002000
17 0.001028 0.002000
18 0.001113 0.002000
19 0.001119 0.003000
